Date,Asset,Price,EMA21,ATR,RSI,RSI_Z_Score,ATR_Distance,Pct_Above_EMA,Timeframe
2024-01-01,ACH,0.02234,0.02234,0.0017399999999999,,,0.0,0.0,1d
2024-01-01,ACH,0.01803,0.01803,0.0052,,,0.0,0.0,1w
2024-01-01,BNB,313.5,313.5,9.0,,,0.0,0.0,1d
2024-01-01,BNB,302.4,302.4,40.69999999999999,,,0.0,0.0,1w
2024-01-01,BTC,44179.55,44179.55,2003.3300000000015,,,0.0,0.0,1d
2024-01-01,BTC,43929.02,43929.02,5129.629999999997,,,0.0,0.0,1w
2024-01-01,CLSK,10.210000038146973,10.210000038146973,3.0,,,0.0,0.0,1w
2024-01-01,ETH,2352.04,2352.04,87.13000000000011,,,0.0,0.0,1d
2024-01-01,ETH,2221.42,2221.42,331.3000000000002,,,0.0,0.0,1w
2024-01-01,HIVE,4.150000095367432,4.150000095367432,1.2300002574920654,,,0.0,0.0,1w
2024-01-01,HUT,11.899999618530272,11.899999618530272,3.5369997024536133,,,0.0,0.0,1w
2024-01-01,IREN,6.190000057220459,6.190000057220459,1.859999656677246,,,0.0,0.0,1w
2024-01-01,MARA,24.1200008392334,24.1200008392334,6.489999771118164,,,0.0,0.0,1w
2024-01-01,MSTR,63.108001708984375,63.108001708984375,10.24700164794922,,,0.0,0.0,1w
2024-01-01,NEAR,3.794,3.794,0.2669999999999999,,,0.0,0.0,1d
2024-01-01,NEAR,3.215,3.215,1.4260000000000006,,,0.0,0.0,1w
2024-01-01,RENDER,4.74,4.74,0.3929999999999998,,,0.0,0.0,1d
2024-01-01,RENDER,3.635,3.635,1.5099999999999998,,,0.0,0.0,1w
2024-01-01,RIOT,14.829999923706056,14.829999923706056,3.3600006103515625,,,0.0,0.0,1w
2024-01-01,RSR,0.003288,0.003288,0.000288,,,0.0,0.0,1d
2024-01-01,RSR,0.002489,0.002489,0.0011159999999999,,,0.0,0.0,1w
2024-01-01,SLNH,3.819999933242798,3.819999933242798,1.3599998950958252,,,0.0,0.0,1w
2024-01-01,SOL,109.91,109.91,8.490000000000009,,,0.0,0.0,1d
2024-01-01,SOL,89.44,89.44,31.950000000000003,,,0.0,0.0,1w
2024-01-01,WULF,1.9299999475479128,1.9299999475479128,1.0600000619888306,,,0.0,0.0,1w
2024-01-01,XLM,0.132,0.132,0.0052999999999999,,,0.0,0.0,1d
2024-01-01,XLM,0.1152,0.1152,0.0225999999999999,,,0.0,0.0,1w
2024-01-01,XRP,0.6294,0.6294,0.0226,,,0.0,0.0,1d
2024-01-01,XRP,0.5515,0.5515,0.1404999999999999,,,0.0,0.0,1w
2024-01-02,ACH,0.02182,0.0222927272727272,0.0016479999999999,,,-0.2868490732568412,-2.120544816899117,1d
2024-01-02,BNB,312.2,313.3818181818182,9.866666666666667,,,-0.1197788697788703,-0.3771176607101432,1d
2024-01-02,BTC,44946.91,44249.31,1967.0580000000016,,,0.3546412967995886,1.5765217581924007,1d
2024-01-02,CLSK,10.880000114440918,10.880000114440918,1.8500003814697263,,,0.0,0.0,1d
2024-01-02,ETH,2355.34,2352.34,87.55266666666678,,,0.0342650899649024,0.1275325845753783,1d
2024-01-02,HIVE,4.389999866485596,4.389999866485596,0.690000057220459,,,0.0,0.0,1d
2024-01-02,HUT,12.600000381469728,12.600000381469728,2.619999885559082,,,0.0,0.0,1d
2024-01-02,IREN,6.800000190734863,6.800000190734863,1.1399998664855957,,,0.0,0.0,1d
2024-01-02,MARA,22.93000030517578,22.93000030517578,3.920000076293945,,,0.0,0.0,1d
2024-01-02,MSTR,68.51499938964844,68.51499938964844,4.777000427246094,,,0.0,0.0,1d
2024-01-02,NEAR,3.923,3.805727272727273,0.3105999999999999,,,0.3775683427969324,3.081480065929339,1d
2024-01-02,RENDER,4.655,4.732272727272727,0.4000666666666664,,,-0.1931496265773884,-1.632888291230427,1d
2024-01-02,RIOT,15.40999984741211,15.40999984741211,1.8000001907348633,,,0.0,0.0,1d
2024-01-02,RSR,0.003406,0.0032987272727272,0.0002878666666666,,,0.3726472693587108,3.251942898087425,1d
2024-01-02,SLNH,4.260000228881836,4.260000228881836,0.9000000953674316,,,0.0,0.0,1d
2024-01-02,SOL,106.73,109.62090909090908,8.815333333333342,,,-0.327940984372957,-2.6371876632692706,1d
2024-01-02,WULF,2.299999952316284,2.299999952316284,0.7100000381469727,,,0.0,0.0,1d
2024-01-02,XLM,0.1291,0.1317363636363636,0.0052733333333333,,,-0.4999425353407645,-2.0012421503001825,1d
2024-01-02,XRP,0.6246,0.6289636363636363,0.0221466666666667,,,-0.1970335504351095,-0.6937819790130749,1d
2024-01-03,ACH,0.01971,0.0220579338842975,0.0020869333333333,,,-1.125064153605382,-10.64439623680692,1d
2024-01-03,BNB,315.8,313.601652892562,13.977777777777778,,,0.1572744353493042,0.700999847150421,1d
