Asset,Timeframe,Date,Price,EMA21,ATR,RSI,RSI_Z_Score,ATR_Distance,Pct_Above_EMA,High,Low,Volume,Unnamed: 10,Unnamed: 11,Unnamed: 12
ACH,1d,2026-09-10,0.004931000061333179,0.004985015077039166,0.0002688918197845556,50.24198653119743,-2.025457833159215,-0.2008801002174982,-1.0835476898511018,0.0046408167108893,0.0044446596875786,4779406.0,0.00508891511708498,0.004915381316095591,3965659.0
ACH,1w,2026-09-07,0.0053460001945495,0.0055100294669292,0.0009706438922292,44.53490557167454,1.404255391061772,-0.1689901659021533,-2.976921872454938,0.0046410001814365,0.0042679999023675,14985726.0,0.0053816079162061,0.0052119507454335,3060466.0
ADA,1d,2026-09-10,0.209759995341301,0.2085264480395398,0.01213299458014438,52.54086702566131,-0.8085812969646611,0.10166882492306545,0.5915543631795337,0.1616011261940002,0.1581840366125106,237933216.0,0.2147925198078156,0.2082757651805878,503458880.0
ADA,1w,2026-09-07,0.22189000248909,0.2173289105779599,0.0403121274594442,47.70027857049071,1.749606077526072,0.1131444108406026,2.098704631151205,0.1687069982290268,0.1558520048856735,1367831654.0,0.2253395318984985,0.2160961925983429,491954944.0
AEVO,1d,2026-09-10,0.02173780277371407,0.02243574677154267,0.001460927569983065,46.9561050030994,-1.730488275452136,-0.4777403152414264,-3.110856995024865,0.0189165864139795,0.0181566942483186,2804444.0,0.02274160087108612,0.02143617905676365,4081479.0
AEVO,1w,2026-09-07,0.0238037090748548,0.023526378638725,0.0050700109705013,46.0040738894764,1.933719503210739,0.0547001648997278,1.17880631094391,0.0194269996136426,0.0181566942483186,12075225.0,0.0244808383285999,0.0235342495143413,3260421.0
ASX,1d,2026-09-10,8819.400390625,9011.95467086092,79.86666635884525,32.85333052445422,-2.400486555907853,-2.4109467568204583,-2.136653892174146,8856.2001953125,8808.099609375,611200.0,8911.400390625,8742.599609375,0.0
ASX,1w,2026-09-07,8840.7001953125,8770.443027159394,197.196548814839,54.86138926397689,0.3798955737948194,0.3411782500404388,0.8010674938032339,8872.599609375,8758.599609375,2363300.0,9044.5,8999.400390625,0.0
AUDUSD,1d,2026-09-10,0.7161784768104553,0.7150596707280824,0.004465900337294875,54.73496147545345,-2.256069953661114,0.25052195478473377,0.15646331742268896,0.7002801299095154,0.697934091091156,0.0,0.7224911451339722,0.7161272168159485,0.0
AUDUSD,1w,2026-09-07,0.7008101344108582,0.7002283020617491,0.0100736699209563,63.75076968084952,0.939600745108274,0.0475537084844941,0.083091806971509,0.7002801299095154,0.697934091091156,0.0,0.7226477861404419,0.7198905944824219,0.0
